module,layer,param_count,kurtosis
self_attn.o_proj,16,16777216,4.631544998338787
mlp.gate_proj,16,50331648,4.052078972953341
mlp.down_proj,16,50331648,6.65422052074798
mlp.up_proj,16,50331648,3.80745646002702
self_attn.q_proj,17,16777216,5.12356027665885
self_attn.k_proj,17,4194304,4.8179813728227705
self_attn.v_proj,17,4194304,3.3701153108243833
self_attn.o_proj,17,16777216,4.571589099452379
mlp.gate_proj,17,50331648,3.906622497385505
mlp.down_proj,17,50331648,4.085787488778317
mlp.up_proj,17,50331648,3.4277146096010616
self_attn.q_proj,18,16777216,4.665349375537282
self_attn.k_proj,18,4194304,4.4824421762637865
self_attn.v_proj,18,4194304,3.4143379238489984
self_attn.o_proj,18,16777216,4.306203688701428
mlp.gate_proj,18,50331648,4.1348462657591405
mlp.down_proj,18,50331648,4.186923646591098
mlp.up_proj,18,50331648,3.543188240673786
self_attn.q_proj,19,16777216,5.48824974250715
self_attn.k_proj,19,4194304,8.833747900332906
self_attn.v_proj,19,4194304,3.622880827123495
self_attn.o_proj,19,16777216,5.651608392805515
mlp.gate_proj,19,50331648,4.31161530455121
mlp.down_proj,19,50331648,4.6553119530523634
mlp.up_proj,19,50331648,3.728648726502985
self_attn.q_proj,20,16777216,5.501777436448975
self_attn.k_proj,20,4194304,5.1242559619562895
self_attn.v_proj,20,4194304,3.5151964552625405
self_attn.o_proj,20,16777216,3.991504438233053
mlp.gate_proj,20,50331648,4.111297786337425
mlp.down_proj,20,50331648,3.672418903504559
mlp.up_proj,20,50331648,3.425080519569344
self_attn.q_proj,21,16777216,5.44368131838779
self_attn.k_proj,21,4194304,4.308970341186873
self_attn.v_proj,21,4194304,4.275413597960965
self_attn.o_proj,21,16777216,3.8560239268660252
mlp.gate_proj,21,50331648,4.4178484272689555
mlp.down_proj,21,50331648,3.864780148761345
mlp.up_proj,21,50331648,3.405279664459031
self_attn.q_proj,22,16777216,5.410679361978139
self_attn.k_proj,22,4194304,9.386629080473162
self_attn.v_proj,22,4194304,3.7696404174251024
self_attn.o_proj,22,16777216,4.368047008944573
mlp.gate_proj,22,50331648,4.515261077821607
mlp.down_proj,22,50331648,4.2652255273597675
mlp.up_proj,22,50331648,3.592689794198662
self_attn.q_proj,23,16777216,5.265475135555726
self_attn.k_proj,23,4194304,4.217328324467858
self_attn.v_proj,23,4194304,4.332256874285605
self_attn.o_proj,23,16777216,4.349143654441271
mlp.gate_proj,23,50331648,4.073948311380071
mlp.down_proj,23,50331648,3.807942478949522
mlp.up_proj,23,50331648,3.3598549404746665
self_attn.q_proj,24,16777216,4.981582379776875
self_attn.k_proj,24,4194304,4.3863485207069735
self_attn.v_proj,24,4194304,4.725765711052312
self_attn.o_proj,24,16777216,5.098466972534927
mlp.gate_proj,24,50331648,3.7347976397594636
mlp.down_proj,24,50331648,3.587169330562164
mlp.up_proj,24,50331648,3.2697257596461746
self_attn.q_proj,25,16777216,4.445979585333972
