module,layer,param_count,kurtosis
self_attn.q_proj,0,9437184,11.4032211843563
self_attn.k_proj,0,3145728,9.217216064850914
self_attn.v_proj,0,3145728,4.604718236650218
self_attn.o_proj,0,9437184,7.428493409904912
mlp.gate_proj,0,25165824,3.6447236427271266
mlp.down_proj,0,25165824,5.195673629524258
mlp.up_proj,0,25165824,3.168665653876268
self_attn.q_proj,1,9437184,5.336984544376062
self_attn.k_proj,1,3145728,5.339282288365327
self_attn.v_proj,1,3145728,3.449248833133815
self_attn.o_proj,1,9437184,8.447688192842369
mlp.gate_proj,1,25165824,3.729562089597947
mlp.down_proj,1,25165824,3.879427336599383
mlp.up_proj,1,25165824,4.796355138141482
self_attn.q_proj,2,9437184,4.726275595963493
self_attn.k_proj,2,3145728,5.145624941450599
self_attn.v_proj,2,3145728,3.567766889871732
self_attn.o_proj,2,9437184,6.051975745724625
mlp.gate_proj,2,25165824,3.2955092298418887
mlp.down_proj,2,25165824,3.5025943217859434
mlp.up_proj,2,25165824,3.2351502886702233
self_attn.q_proj,3,9437184,3.993118150375115
self_attn.k_proj,3,3145728,4.215884819215548
self_attn.v_proj,3,3145728,3.373603778282327
self_attn.o_proj,3,9437184,3.8148777949613097
mlp.gate_proj,3,25165824,3.4553490308716364
mlp.down_proj,3,25165824,3.414461769201579
mlp.up_proj,3,25165824,3.180254174978485
self_attn.q_proj,4,9437184,4.797976217859671
self_attn.k_proj,4,3145728,4.362223404314293
self_attn.v_proj,4,3145728,3.514366319804521
self_attn.o_proj,4,9437184,4.9843821269550315
mlp.gate_proj,4,25165824,3.410751839695408
mlp.down_proj,4,25165824,3.5918015152473406
mlp.up_proj,4,25165824,3.3529052861946558
self_attn.q_proj,5,9437184,4.339168210869567
self_attn.k_proj,5,3145728,5.438107981986459
self_attn.v_proj,5,3145728,3.4258499734306973
self_attn.o_proj,5,9437184,3.7633597064690534
mlp.gate_proj,5,25165824,3.3675098503179886
mlp.down_proj,5,25165824,4.021735193594413
mlp.up_proj,5,25165824,3.354675336596755
self_attn.q_proj,6,9437184,4.304909559019118
self_attn.k_proj,6,3145728,3.9087506524535036
self_attn.v_proj,6,3145728,3.3224016981195676
self_attn.o_proj,6,9437184,4.813807567855305
mlp.gate_proj,6,25165824,3.5562124097739107
mlp.down_proj,6,25165824,3.6839778066410807
mlp.up_proj,6,25165824,3.2063531610040625
self_attn.q_proj,7,9437184,4.14425321547239
self_attn.k_proj,7,3145728,3.83665458898216
self_attn.v_proj,7,3145728,3.4097019150751646
self_attn.o_proj,7,9437184,4.071268973837191
mlp.gate_proj,7,25165824,3.5619345762898806
mlp.down_proj,7,25165824,4.128608048496753
mlp.up_proj,7,25165824,3.3197500242676075
self_attn.q_proj,8,9437184,5.083228592536028
self_attn.k_proj,8,3145728,4.933864215659103
self_attn.v_proj,8,3145728,3.459105005603344
self_attn.o_proj,8,9437184,4.828394335682302
mlp.gate_proj,8,25165824,3.635435117109145
mlp.down_proj,8,25165824,4.230877631022458
mlp.up_proj,8,25165824,3.3031920857660277
self_attn.q_proj,9,9437184,4.5056030674949215
self_attn.k_proj,9,3145728,4.388605882481324
self_attn.v_proj,9,3145728,4.08458374830089
self_attn.o_proj,9,9437184,5.335885282015746
mlp.gate_proj,9,25165824,4.011775204572054
mlp.down_proj,9,25165824,4.422385465392906
mlp.up_proj,9,25165824,3.261307151555541
self_attn.q_proj,10,9437184,4.190483363257681
self_attn.k_proj,10,3145728,4.471920030782345
self_attn.v_proj,10,3145728,3.3628256210092813
self_attn.o_proj,10,9437184,4.858982345051063
mlp.gate_proj,10,25165824,4.164930822539018
mlp.down_proj,10,25165824,3.994863567807714
mlp.up_proj,10,25165824,3.331300026222553
self_attn.q_proj,11,9437184,3.6605895049660413
self_attn.k_proj,11,3145728,3.781987600908594
self_attn.v_proj,11,3145728,3.367136852897026
self_attn.o_proj,11,9437184,4.732796054584504
mlp.gate_proj,11,25165824,4.4816087273591485
mlp.down_proj,11,25165824,4.579134940117831
mlp.up_proj,11,25165824,3.4530226917969373
self_attn.q_proj,12,9437184,4.280057698006496
self_attn.k_proj,12,3145728,4.260322470713546
self_attn.v_proj,12,3145728,3.3579212687862294
self_attn.o_proj,12,9437184,5.615457798561787
mlp.gate_proj,12,25165824,5.21698959165818
mlp.down_proj,12,25165824,3.9803392578392494
mlp.up_proj,12,25165824,3.4240661871737776
self_attn.q_proj,13,9437184,4.805448877679935
self_attn.k_proj,13,3145728,5.008741304556607
self_attn.v_proj,13,3145728,3.605621521083981
self_attn.o_proj,13,9437184,3.8377425308410866
mlp.gate_proj,13,25165824,5.669409923820501
mlp.down_proj,13,25165824,3.707847987843797
mlp.up_proj,13,25165824,3.3740919725070517
self_attn.q_proj,14,9437184,5.397043406179097
self_attn.k_proj,14,3145728,3.9848544637994494
self_attn.v_proj,14,3145728,3.743967311249583
self_attn.o_proj,14,9437184,4.767701736577938
mlp.gate_proj,14,25165824,5.436430464617039
mlp.down_proj,14,25165824,3.814413261649823
mlp.up_proj,14,25165824,3.303605454593828
self_attn.q_proj,15,9437184,4.343450146189656
self_attn.k_proj,15,3145728,4.247057657270448
self_attn.v_proj,15,3145728,3.3421669840866213
self_attn.o_proj,15,9437184,4.471233770374361
mlp.gate_proj,15,25165824,4.668346492114722
mlp.down_proj,15,25165824,3.759846315048496
mlp.up_proj,15,25165824,3.2303436121538205
self_attn.q_proj,16,9437184,4.092051448835192
self_attn.k_proj,16,3145728,3.939123893324522
self_attn.v_proj,16,3145728,3.7094585678481136
self_attn.o_proj,16,9437184,3.847456643547808
mlp.gate_proj,16,25165824,4.305557947658462
