module,layer,param_count,kurtosis
self_attn.o_proj,16,10485760,4.382096656824375
mlp.gate_proj,16,24903680,4.374222756717472
mlp.down_proj,16,24903680,6.292924036145322
mlp.up_proj,16,24903680,5.803099081183349
self_attn.q_proj,17,10485760,5.942481236572444
self_attn.k_proj,17,2621440,5.071122315045897
self_attn.v_proj,17,2621440,3.4557598166852856
self_attn.o_proj,17,10485760,4.323181727578074
mlp.gate_proj,17,24903680,4.19045568959615
mlp.down_proj,17,24903680,4.124297523417064
mlp.up_proj,17,24903680,3.4984194517750513
self_attn.q_proj,18,10485760,5.143495214136145
self_attn.k_proj,18,2621440,4.630349722317864
self_attn.v_proj,18,2621440,3.4565480345594852
self_attn.o_proj,18,10485760,4.228194103482593
mlp.gate_proj,18,24903680,4.452818287196711
mlp.down_proj,18,24903680,4.137954364863396
mlp.up_proj,18,24903680,3.6653413801096675
self_attn.q_proj,19,10485760,6.156970481363907
self_attn.k_proj,19,2621440,9.514631158311941
self_attn.v_proj,19,2621440,3.5988781514916783
self_attn.o_proj,19,10485760,5.042880026498917
mlp.gate_proj,19,24903680,4.730264747276834
mlp.down_proj,19,24903680,4.614209494227822
mlp.up_proj,19,24903680,3.9555483604462243
self_attn.q_proj,20,10485760,6.59965259282837
self_attn.k_proj,20,2621440,5.483598728177798
self_attn.v_proj,20,2621440,3.540609599035421
self_attn.o_proj,20,10485760,4.020478558908942
mlp.gate_proj,20,24903680,4.520518312141517
mlp.down_proj,20,24903680,3.7423437748184076
mlp.up_proj,20,24903680,3.595160140097595
self_attn.q_proj,21,10485760,6.187137720629267
self_attn.k_proj,21,2621440,4.504119299231147
self_attn.v_proj,21,2621440,4.201733302381091
self_attn.o_proj,21,10485760,3.896160900875543
mlp.gate_proj,21,24903680,4.838096921067465
mlp.down_proj,21,24903680,3.888235896152907
mlp.up_proj,21,24903680,3.5228712349838562
self_attn.q_proj,22,10485760,6.3355227881392775
self_attn.k_proj,22,2621440,12.613814972556066
self_attn.v_proj,22,2621440,3.9252707508114186
self_attn.o_proj,22,10485760,4.384712562556812
mlp.gate_proj,22,24903680,5.118203605095857
mlp.down_proj,22,24903680,4.313057636717954
mlp.up_proj,22,24903680,3.7222658558112247
self_attn.q_proj,23,10485760,6.52927060854941
self_attn.k_proj,23,2621440,4.485732045868077
